date,close
2013-04-28,4.25
2013-04-29,4.67
2013-04-30,4.31
2013-05-01,3.68
2013-05-02,3.3
2013-05-03,3.0
2013-05-04,3.49
2013-05-05,3.69
2013-05-06,3.28
2013-05-07,3.29
2013-05-08,3.5
2013-05-09,3.49
2013-05-10,3.63
2013-05-11,3.53
2013-05-12,3.52
2013-05-13,3.65
2013-05-14,3.39
2013-05-15,3.45
2013-05-16,3.59
2013-05-17,3.64
2013-05-18,3.68
2013-05-19,3.62
2013-05-20,3.74
2013-05-21,3.73
2013-05-22,3.93
2013-05-23,3.99
2013-05-24,4.16
2013-05-25,4.19
2013-05-26,4.31
2013-05-27,4.19
2013-05-28,4.21
2013-05-29,4.3
2013-05-30,4.33
2013-05-31,4.21
2013-06-01,4.19
2013-06-02,3.9
2013-06-03,3.9
2013-06-04,3.88
2013-06-05,3.88
2013-06-06,3.79
2013-06-07,3.66
2013-06-08,3.52
2013-06-09,3.31
2013-06-10,3.48
2013-06-11,3.59
2013-06-12,3.54
2013-06-13,3.4
2013-06-14,3.27
2013-06-15,3.28
2013-06-16,3.25
2013-06-17,3.33
2013-06-18,3.43
2013-06-19,3.57
2013-06-20,3.62
2013-06-21,3.51
2013-06-22,3.5
2013-06-23,3.5
2013-06-24,3.3
2013-06-25,3.34
2013-06-26,3.36
2013-06-27,3.29
2013-06-28,3.03
2013-06-29,3.08
2013-06-30,3.09
2013-07-01,2.83
2013-07-02,2.88
2013-07-03,2.48
2013-07-04,2.68
2013-07-05,2.52
2013-07-06,2.81
2013-07-07,2.84
2013-07-08,3.04
2013-07-09,3.3
2013-07-10,3.54
2013-07-11,3.76
2013-07-12,3.94
2013-07-13,4.19
2013-07-14,3.98
2013-07-15,4.09
2013-07-16,4.07
2013-07-17,4.05
2013-07-18,3.85
2013-07-19,3.91
2013-07-20,3.75
2013-07-21,3.85
2013-07-22,4.4
2013-07-23,4.3
2013-07-24,4.64
2013-07-25,6.09
2013-07-26,5.91
2013-07-27,5.9
2013-07-28,6.01
2013-07-29,5.9
2013-07-30,6.11
2013-07-31,5.79
2013-08-01,5.41
2013-08-02,5.45
2013-08-03,5.44
2013-08-04,5.46
2013-08-05,5.38
2013-08-06,4.64
2013-08-07,5.23
2013-08-08,5.37
2013-08-09,5.24
2013-08-10,5.19
2013-08-11,5.15
2013-08-12,5.06
2013-08-13,5.29
2013-08-14,5.26
2013-08-15,5.2
2013-08-17,5.29
2013-08-18,5.27
2013-08-19,5.36
2013-08-20,5.29
2013-08-21,4.94
2013-08-22,4.73
2013-08-23,4.75
2013-08-24,4.72
2013-08-25,4.64
2013-08-26,4.22
2013-08-27,4.02
2013-08-28,3.79
2013-08-29,3.7
2013-08-30,4.02
2013-08-31,3.86
2013-09-01,4.07
2013-09-02,3.95
2013-09-03,3.94
2013-09-04,3.8
2013-09-05,3.78
2013-09-06,3.64
2013-09-07,3.71
2013-09-08,3.6
2013-09-09,3.63
2013-09-10,3.66
2013-09-11,3.83
2013-09-12,3.65
2013-09-13,3.67
2013-09-14,3.53
2013-09-15,3.57
2013-09-16,3.59
2013-09-17,3.5
2013-09-18,3.48
2013-09-19,3.42
2013-09-20,3.36
2013-09-21,4.12
2013-09-22,4.65
2013-09-23,4.01
2013-09-24,3.91
2013-09-25,3.85
2013-09-26,3.82
2013-09-27,3.9
2013-09-28,3.88
2013-09-29,4.02
